Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G  47		 BestInG    8060.314		 AvgOfG  468560.077		 StDv  463853.065		 95% ConfInt  439223.433  497896.72
 R   0		 G  48		 BestInG    8060.314		 AvgOfG  478321.745		 StDv  473620.155		 95% ConfInt  448367.376 508276.114
 R   0		 G  49		 BestInG    8060.314		 AvgOfG  488083.413		 StDv  483387.223		 95% ConfInt  457511.321 518655.505
 R   0		 G  50		 BestInG    8060.314		 AvgOfG  497845.081		 StDv  493154.271		 95% ConfInt  466655.267 529034.896
 R   0		 G  51		 BestInG    8060.314		 AvgOfG   507606.75		 StDv  502921.299		 95% ConfInt  475799.214 539414.285
 R   0		 G  52		 BestInG    8060.314		 AvgOfG  517368.418		 StDv  512688.309		 95% ConfInt  484943.162 549793.674
 R   0		 G  53		 BestInG    8060.314		 AvgOfG  527130.086		 StDv  522455.303		 95% ConfInt  494087.112 560173.061
 R   0		 G  54		 BestInG    8060.314		 AvgOfG  536891.754		 StDv   532222.28		 95% ConfInt  503231.062 570552.447
 R   0		 G  55		 BestInG    8060.314		 AvgOfG  546653.423		 StDv  541989.241		 95% ConfInt  512375.013 580931.832
 R   0		 G  56		 BestInG    8060.314		 AvgOfG  556415.091		 StDv  551756.189		 95% ConfInt  521518.966 591311.216
 R   0		 G  57		 BestInG    8060.314		 AvgOfG  566176.759		 StDv  561523.122		 95% ConfInt  530662.919   601690.6
 R   0		 G  58		 BestInG    8060.314		 AvgOfG  575938.428		 StDv  571290.043		 95% ConfInt  539806.873 612069.982
 R   0		 G  59		 BestInG    8060.314		 AvgOfG  585700.096		 StDv  581056.951		 95% ConfInt  548950.827 622449.364
 R   0		 G  60		 BestInG    8060.314		 AvgOfG  595461.764		 StDv  590823.848		 95% ConfInt  558094.783 632828.745
 R   0		 G  61		 BestInG    8060.314		 AvgOfG  605223.432		 StDv  600590.733		 95% ConfInt  567238.739 643208.125
 R   0		 G  62		 BestInG    8060.314		 AvgOfG  614985.101		 StDv  610357.607		 95% ConfInt  576382.696 653587.505
 R   0		 G  63		 BestInG    8060.314		 AvgOfG  624746.769		 StDv  620124.472		 95% ConfInt  585526.654 663966.884
 R   0		 G  64		 BestInG    8060.314		 AvgOfG  634508.437		 StDv  629891.327		 95% ConfInt  594670.612 674346.263
 R   0		 G  65		 BestInG    8060.314		 AvgOfG  644270.105		 StDv  639658.172		 95% ConfInt   603814.57  684725.64
 R   0		 G  66		 BestInG    8060.314		 AvgOfG  654031.774		 StDv  649425.009		 95% ConfInt   612958.53 695105.018
 R   0		 G  67		 BestInG    8060.314		 AvgOfG  663793.442		 StDv  659191.837		 95% ConfInt  622102.489 705484.394
 R   0		 G  68		 BestInG    8060.314		 AvgOfG   673555.11		 StDv  668958.658		 95% ConfInt   631246.45 715863.771
 R   0		 G  69		 BestInG    8060.314		 AvgOfG  683316.778		 StDv   678725.47		 95% ConfInt  640390.411 726243.146
 R   0		 G  70		 BestInG    8060.314		 AvgOfG  693078.447		 StDv  688492.276		 95% ConfInt  649534.372 736622.522
 R   0		 G  71		 BestInG    8060.314		 AvgOfG  702840.115		 StDv  698259.074		 95% ConfInt  658678.334 747001.896
 R   0		 G  72		 BestInG    8060.314		 AvgOfG  712601.783		 StDv  708025.865		 95% ConfInt  667822.296 757381.271
 R   0		 G  73		 BestInG    8060.314		 AvgOfG  722363.451		 StDv   717792.65		 95% ConfInt  676966.258 767760.645
 R   0		 G  74		 BestInG    8060.314		 AvgOfG   732125.12		 StDv  727559.429		 95% ConfInt  686110.221 778140.018
 R   0		 G  75		 BestInG    8060.314		 AvgOfG  741886.788		 StDv  737326.202		 95% ConfInt  695254.184 788519.392
 R   0		 G  76		 BestInG    8060.314		 AvgOfG  751648.456		 StDv  747092.968		 95% ConfInt  704398.148 798898.764
 R   0		 G  77		 BestInG    8060.314		 AvgOfG  761410.125		 StDv   756859.73		 95% ConfInt  713542.112 809278.137
 R   0		 G  78		 BestInG    8060.314		 AvgOfG  771171.793		 StDv  766626.486		 95% ConfInt  722686.077 819657.509
