Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G 185		 BestInG    8060.314		 AvgOfG 1815670.297		 StDv 1811656.721		 95% ConfInt 1701091.0651930249.529
 R   0		 G 186		 BestInG    8060.314		 AvgOfG 1825431.965		 StDv  1821423.31		 95% ConfInt  1710235.04 1940628.89
 R   0		 G 187		 BestInG    8060.314		 AvgOfG 1835193.633		 StDv 1831189.898		 95% ConfInt 1719379.0151951008.252
 R   0		 G 188		 BestInG    8060.314		 AvgOfG 1844955.302		 StDv 1840956.486		 95% ConfInt  1728522.991961387.613
 R   0		 G 189		 BestInG    8060.314		 AvgOfG  1854716.97		 StDv 1850723.073		 95% ConfInt 1737666.9651971766.975
 R   0		 G 190		 BestInG    8060.314		 AvgOfG 1864478.638		 StDv  1860489.66		 95% ConfInt  1746810.941982146.336
 R   0		 G 191		 BestInG    8060.314		 AvgOfG 1874240.307		 StDv 1870256.247		 95% ConfInt 1755954.9161992525.697
 R   0		 G 192		 BestInG    8060.314		 AvgOfG 1884001.975		 StDv 1880022.833		 95% ConfInt 1765098.8912002905.059
 R   0		 G 193		 BestInG    8060.314		 AvgOfG 1893763.643		 StDv 1889789.419		 95% ConfInt 1774242.866 2013284.42
 R   0		 G 194		 BestInG    8060.314		 AvgOfG 1903525.311		 StDv 1899556.005		 95% ConfInt 1783386.8412023663.782
 R   0		 G 195		 BestInG    8060.314		 AvgOfG  1913286.98		 StDv  1909322.59		 95% ConfInt 1792530.8162034043.143
 R   0		 G 196		 BestInG    8060.314		 AvgOfG 1923048.648		 StDv 1919089.175		 95% ConfInt 1801674.7912044422.504
 R   0		 G 197		 BestInG    8060.314		 AvgOfG 1932810.316		 StDv  1928855.76		 95% ConfInt 1810818.7672054801.866
 R   0		 G 198		 BestInG    8060.314		 AvgOfG 1942571.984		 StDv 1938622.344		 95% ConfInt 1819962.7422065181.227
 R   0		 G 199		 BestInG    8060.314		 AvgOfG 1952333.653		 StDv 1948388.928		 95% ConfInt 1829106.7172075560.588
########
####
 R   1		 G   0		 BestInG    8060.504		 AvgOfG 1962166.612		 StDv 1958226.648		 95% ConfInt 1838317.484 2086015.74
 R   1		 G   1		 BestInG    8060.504		 AvgOfG 1971999.571		 StDv  1968064.37		 95% ConfInt 1847528.2512096470.891
 R   1		 G   2		 BestInG    8060.504		 AvgOfG 1981832.531		 StDv 1977902.094		 95% ConfInt 1856739.0192106926.043
 R   1		 G   3		 BestInG    8060.504		 AvgOfG  1991665.49		 StDv 1987739.819		 95% ConfInt 1865949.7862117381.194
 R   1		 G   4		 BestInG    8060.504		 AvgOfG 2001498.449		 StDv 1997577.546		 95% ConfInt 1875160.5522127836.346
 R   1		 G   5		 BestInG    8060.504		 AvgOfG 2011331.409		 StDv 2007415.274		 95% ConfInt 1884371.3192138291.498
 R   1		 G   6		 BestInG    8060.504		 AvgOfG 2021164.368		 StDv 2017253.004		 95% ConfInt 1893582.086 2148746.65
 R   1		 G   7		 BestInG    8060.504		 AvgOfG 2030997.327		 StDv 2027090.735		 95% ConfInt 1902792.8522159201.802
 R   1		 G   8		 BestInG    8060.504		 AvgOfG 2040830.287		 StDv 2036928.468		 95% ConfInt 1912003.6192169656.954
 R   1		 G   9		 BestInG    8060.504		 AvgOfG 2050663.246		 StDv 2046766.202		 95% ConfInt 1921214.3852180112.107
 R   1		 G  10		 BestInG    8060.504		 AvgOfG 2060496.205		 StDv 2056603.937		 95% ConfInt 1930425.1522190567.259
 R   1		 G  11		 BestInG    8060.504		 AvgOfG 2070329.165		 StDv 2066441.674		 95% ConfInt 1939635.9182201022.412
 R   1		 G  12		 BestInG    8060.504		 AvgOfG 2080162.124		 StDv 2076279.412		 95% ConfInt 1948846.6842211477.564
 R   1		 G  13		 BestInG    8060.504		 AvgOfG 2089995.083		 StDv 2086117.151		 95% ConfInt  1958057.452221932.717
 R   1		 G  14		 BestInG    8060.504		 AvgOfG 2099828.043		 StDv 2095954.892		 95% ConfInt 1967268.2162232387.869
 R   1		 G  15		 BestInG    8060.504		 AvgOfG 2109661.002		 StDv 2105792.634		 95% ConfInt 1976478.9822242843.022
 R   1		 G  16		 BestInG    8060.504		 AvgOfG 2119493.961		 StDv 2115630.377		 95% ConfInt 1985689.7482253298.175
 R   1		 G  17		 BestInG    8060.504		 AvgOfG 2129326.921		 StDv 2125468.122		 95% ConfInt 1994900.5142263753.328
 R   1		 G  18		 BestInG    8060.504		 AvgOfG  2139159.88		 StDv 2135305.868		 95% ConfInt 2004111.2792274208.481
 R   1		 G  19		 BestInG    8060.504		 AvgOfG 2148992.839		 StDv 2145143.615		 95% ConfInt 2013322.0452284663.634
 R   1		 G  20		 BestInG    8060.504		 AvgOfG 2158825.799		 StDv 2154981.363		 95% ConfInt  2022532.812295118.787
 R   1		 G  21		 BestInG    8060.504		 AvgOfG 2168658.758		 StDv 2164819.113		 95% ConfInt 2031743.576 2305573.94
 R   1		 G  22		 BestInG    8060.504		 AvgOfG 2178491.717		 StDv 2174656.863		 95% ConfInt 2040954.3412316029.094
 R   1		 G  23		 BestInG    8060.504		 AvgOfG 2188324.677		 StDv 2184494.615		 95% ConfInt 2050165.1062326484.247
 R   1		 G  24		 BestInG    8060.504		 AvgOfG 2198157.636		 StDv 2194332.368		 95% ConfInt 2059375.8722336939.401
 R   1		 G  25		 BestInG    8060.504		 AvgOfG 2207990.595		 StDv 2204170.122		 95% ConfInt 2068586.6372347394.554
 R   1		 G  26		 BestInG    8060.504		 AvgOfG 2217823.555		 StDv 2214007.877		 95% ConfInt 2077797.4022357849.708
 R   1		 G  27		 BestInG    8060.504		 AvgOfG 2227656.514		 StDv 2223845.634		 95% ConfInt 2087008.1672368304.861
 R   1		 G  28		 BestInG    8060.504		 AvgOfG 2237489.473		 StDv 2233683.391		 95% ConfInt 2096218.9322378760.015
 R   1		 G  29		 BestInG    8060.504		 AvgOfG 2247322.433		 StDv 2243521.149		 95% ConfInt 2105429.6972389215.169
 R   1		 G  30		 BestInG    8060.504		 AvgOfG 2257155.392		 StDv 2253358.909		 95% ConfInt 2114640.4612399670.323
 R   1		 G  31		 BestInG    8060.504		 AvgOfG 2266988.352		 StDv  2263196.67		 95% ConfInt 2123851.2262410125.477
 R   1		 G  32		 BestInG    8060.504		 AvgOfG 2276821.311		 StDv 2273034.431		 95% ConfInt 2133061.9912420580.631
 R   1		 G  33		 BestInG    8060.504		 AvgOfG  2286654.27		 StDv 2282872.194		 95% ConfInt 2142272.7552431035.785
 R   1		 G  34		 BestInG    8060.504		 AvgOfG  2296487.23		 StDv 2292709.957		 95% ConfInt  2151483.522441490.939
 R   1		 G  35		 BestInG    8060.504		 AvgOfG 2306320.189		 StDv 2302547.722		 95% ConfInt 2160694.2842451946.093
 R   1		 G  36		 BestInG    8060.504		 AvgOfG 2316153.148		 StDv 2312385.487		 95% ConfInt 2169905.0492462401.248
 R   1		 G  37		 BestInG    8060.504		 AvgOfG 2325986.108		 StDv 2322223.254		 95% ConfInt 2179115.8132472856.402
 R   1		 G  38		 BestInG    8060.504		 AvgOfG 2335819.067		 StDv 2332061.021		 95% ConfInt 2188326.5772483311.556
 R   1		 G  39		 BestInG    8060.504		 AvgOfG 2345652.026		 StDv  2341898.79		 95% ConfInt 2197537.3422493766.711
 R   1		 G  40		 BestInG    8060.504		 AvgOfG 2355484.986		 StDv 2351736.559		 95% ConfInt 2206748.1062504221.865
 R   1		 G  41		 BestInG    8060.504		 AvgOfG 2365317.945		 StDv 2361574.329		 95% ConfInt  2215958.87 2514677.02
 R   1		 G  42		 BestInG    8060.504		 AvgOfG 2375150.904		 StDv 2371412.101		 95% ConfInt 2225169.6342525132.174
 R   1		 G  43		 BestInG    8060.504		 AvgOfG 2384983.864		 StDv 2381249.873		 95% ConfInt 2234380.3982535587.329
 R   1		 G  44		 BestInG    8060.504		 AvgOfG 2394816.823		 StDv 2391087.646		 95% ConfInt 2243591.1622546042.484
 R   1		 G  45		 BestInG    8060.504		 AvgOfG 2404649.782		 StDv  2400925.42		 95% ConfInt 2252801.9262556497.639
 R   1		 G  46		 BestInG    8060.504		 AvgOfG 2414482.742		 StDv 2410763.194		 95% ConfInt  2262012.692566952.793
 R   1		 G  47		 BestInG    8060.504		 AvgOfG 2424315.701		 StDv  2420600.97		 95% ConfInt 2271223.4542577407.948
 R   1		 G  48		 BestInG    8060.504		 AvgOfG  2434148.66		 StDv 2430438.746		 95% ConfInt 2280434.2172587863.103
 R   1		 G  49		 BestInG    8060.504		 AvgOfG  2443981.62		 StDv 2440276.523		 95% ConfInt 2289644.9812598318.258
 R   1		 G  50		 BestInG    8060.504		 AvgOfG 2453814.579		 StDv 2450114.301		 95% ConfInt 2298855.7452608773.413
 R   1		 G  51		 BestInG    8060.504		 AvgOfG 2463647.538		 StDv  2459952.08		 95% ConfInt 2308066.5082619228.568
 R   1		 G  52		 BestInG    8060.504		 AvgOfG 2473480.498		 StDv  2469789.86		 95% ConfInt 2317277.2722629683.724
 R   1		 G  53		 BestInG    8060.504		 AvgOfG 2483313.457		 StDv  2479627.64		 95% ConfInt 2326488.0352640138.879
 R   1		 G  54		 BestInG    8060.504		 AvgOfG 2493146.416		 StDv 2489465.422		 95% ConfInt 2335698.7992650594.034
 R   1		 G  55		 BestInG    8060.504		 AvgOfG 2502979.376		 StDv 2499303.204		 95% ConfInt 2344909.5622661049.189
 R   1		 G  56		 BestInG    8060.504		 AvgOfG 2512812.335		 StDv 2509140.986		 95% ConfInt 2354120.3252671504.345
 R   1		 G  57		 BestInG    8060.504		 AvgOfG 2522645.294		 StDv  2518978.77		 95% ConfInt 2363331.089  2681959.5
 R   1		 G  58		 BestInG    8060.504		 AvgOfG 2532478.254		 StDv 2528816.554		 95% ConfInt 2372541.8522692414.656
 R   1		 G  59		 BestInG    8060.504		 AvgOfG 2542311.213		 StDv 2538654.339		 95% ConfInt 2381752.6152702869.811
 R   1		 G  60		 BestInG    8060.504		 AvgOfG 2552144.172		 StDv 2548492.125		 95% ConfInt 2390963.3782713324.967
 R   1		 G  61		 BestInG    8060.504		 AvgOfG 2561977.132		 StDv 2558329.911		 95% ConfInt 2400174.1412723780.122
 R   1		 G  62		 BestInG    8060.504		 AvgOfG 2571810.091		 StDv 2568167.699		 95% ConfInt 2409384.9042734235.278
 R   1		 G  63		 BestInG    8060.504		 AvgOfG  2581643.05		 StDv 2578005.486		 95% ConfInt 2418595.6672744690.434
 R   1		 G  64		 BestInG    8060.504		 AvgOfG  2591476.01		 StDv 2587843.275		 95% ConfInt  2427806.432755145.589
 R   1		 G  65		 BestInG    8060.504		 AvgOfG 2601308.969		 StDv 2597681.064		 95% ConfInt 2437017.1932765600.745
 R   1		 G  66		 BestInG    8060.504		 AvgOfG 2611141.928		 StDv 2607518.854		 95% ConfInt 2446227.9562776055.901
 R   1		 G  67		 BestInG    8060.504		 AvgOfG 2620974.888		 StDv 2617356.645		 95% ConfInt 2455438.7192786511.057
 R   1		 G  68		 BestInG    8060.504		 AvgOfG 2630807.847		 StDv 2627194.436		 95% ConfInt 2464649.4822796966.213
 R   1		 G  69		 BestInG    8060.504		 AvgOfG 2640640.806		 StDv 2637032.228		 95% ConfInt 2473860.2442807421.368
 R   1		 G  70		 BestInG    8060.504		 AvgOfG 2650473.766		 StDv 2646870.021		 95% ConfInt 2483071.0072817876.524
 R   1		 G  71		 BestInG    8060.504		 AvgOfG 2660306.725		 StDv 2656707.814		 95% ConfInt  2492281.77 2828331.68
 R   1		 G  72		 BestInG    8060.504		 AvgOfG 2670139.684		 StDv 2666545.608		 95% ConfInt 2501492.5322838786.837
 R   1		 G  73		 BestInG    8060.504		 AvgOfG 2679972.644		 StDv 2676383.402		 95% ConfInt 2510703.2952849241.993
 R   1		 G  74		 BestInG    8060.504		 AvgOfG 2689805.603		 StDv 2686221.197		 95% ConfInt 2519914.0572859697.149
 R   1		 G  75		 BestInG    8060.504		 AvgOfG 2699638.562		 StDv 2696058.993		 95% ConfInt  2529124.822870152.305
 R   1		 G  76		 BestInG    8060.504		 AvgOfG 2709471.522		 StDv 2705896.789		 95% ConfInt 2538335.5822880607.461
 R   1		 G  77		 BestInG    8060.504		 AvgOfG 2719304.481		 StDv 2715734.586		 95% ConfInt 2547546.3452891062.617
 R   1		 G  78		 BestInG    8060.504		 AvgOfG  2729137.44		 StDv 2725572.384		 95% ConfInt 2556757.1072901517.774
 R   1		 G  79		 BestInG    8060.504		 AvgOfG   2738970.4		 StDv 2735410.182		 95% ConfInt  2565967.87 2911972.93
 R   1		 G  80		 BestInG    8060.504		 AvgOfG 2748803.359		 StDv 2745247.981		 95% ConfInt 2575178.6322922428.086
 R   1		 G  81		 BestInG    8060.504		 AvgOfG 2758636.318		 StDv  2755085.78		 95% ConfInt 2584389.3942932883.243
 R   1		 G  82		 BestInG    8060.504		 AvgOfG 2768469.278		 StDv  2764923.58		 95% ConfInt 2593600.1562943338.399
 R   1		 G  83		 BestInG    8060.504		 AvgOfG 2778302.237		 StDv  2774761.38		 95% ConfInt 2602810.9192953793.556
 R   1		 G  84		 BestInG    8060.504		 AvgOfG 2788135.197		 StDv 2784599.181		 95% ConfInt 2612021.6812964248.712
 R   1		 G  85		 BestInG    8060.504		 AvgOfG 2797968.156		 StDv 2794436.983		 95% ConfInt 2621232.4432974703.869
 R   1		 G  86		 BestInG    8060.504		 AvgOfG 2807801.115		 StDv 2804274.785		 95% ConfInt 2630443.2052985159.025
 R   1		 G  87		 BestInG    8060.504		 AvgOfG 2817634.075		 StDv 2814112.588		 95% ConfInt 2639653.9672995614.182
 R   1		 G  88		 BestInG    8060.504		 AvgOfG 2827467.034		 StDv 2823950.391		 95% ConfInt 2648864.7293006069.339
 R   1		 G  89		 BestInG    8060.504		 AvgOfG 2837299.993		 StDv 2833788.195		 95% ConfInt 2658075.4913016524.495
 R   1		 G  90		 BestInG    8060.504		 AvgOfG 2847132.953		 StDv 2843625.999		 95% ConfInt 2667286.2533026979.652
 R   1		 G  91		 BestInG    8060.504		 AvgOfG 2856965.912		 StDv 2853463.803		 95% ConfInt 2676497.0153037434.809
 R   1		 G  92		 BestInG    8060.504		 AvgOfG 2866798.871		 StDv 2863301.609		 95% ConfInt 2685707.7773047889.965
 R   1		 G  93		 BestInG    8060.504		 AvgOfG 2876631.831		 StDv 2873139.415		 95% ConfInt 2694918.5393058345.122
 R   1		 G  94		 BestInG    8060.504		 AvgOfG  2886464.79		 StDv 2882977.221		 95% ConfInt 2704129.3013068800.279
 R   1		 G  95		 BestInG    8060.504		 AvgOfG 2896297.749		 StDv 2892815.028		 95% ConfInt 2713340.0633079255.436
 R   1		 G  96		 BestInG    8060.504		 AvgOfG 2906130.709		 StDv 2902652.835		 95% ConfInt 2722550.8243089710.593
 R   1		 G  97		 BestInG    8060.504		 AvgOfG 2915963.668		 StDv 2912490.643		 95% ConfInt 2731761.586 3100165.75
 R   1		 G  98		 BestInG    8060.504		 AvgOfG 2925796.627		 StDv 2922328.451		 95% ConfInt 2740972.3483110620.907
 R   1		 G  99		 BestInG    8060.504		 AvgOfG 2935629.587		 StDv 2932166.259		 95% ConfInt 2750183.1093121076.064
 R   1		 G 100		 BestInG    8060.504		 AvgOfG 2945462.546		 StDv 2942004.069		 95% ConfInt 2759393.8713131531.221
 R   1		 G 101		 BestInG    8060.504		 AvgOfG 2955295.505		 StDv 2951841.878		 95% ConfInt 2768604.6333141986.378
 R   1		 G 102		 BestInG    8060.504		 AvgOfG 2965128.465		 StDv 2961679.688		 95% ConfInt 2777815.3943152441.535
 R   1		 G 103		 BestInG    8060.504		 AvgOfG 2974961.424		 StDv 2971517.499		 95% ConfInt 2787026.1563162896.692
 R   1		 G 104		 BestInG    8060.504		 AvgOfG 2984794.383		 StDv  2981355.31		 95% ConfInt 2796236.9173173351.849
 R   1		 G 105		 BestInG    8060.504		 AvgOfG 2994627.343		 StDv 2991193.122		 95% ConfInt 2805447.6793183807.006
 R   1		 G 106		 BestInG    8060.504		 AvgOfG 3004460.302		 StDv 3001030.933		 95% ConfInt  2814658.443194262.164
 R   1		 G 107		 BestInG    8060.504		 AvgOfG 3014293.261		 StDv 3010868.746		 95% ConfInt 2823869.2023204717.321
 R   1		 G 108		 BestInG    8060.504		 AvgOfG 3024126.221		 StDv 3020706.559		 95% ConfInt 2833079.9633215172.478
 R   1		 G 109		 BestInG    8060.504		 AvgOfG  3033959.18		 StDv 3030544.372		 95% ConfInt 2842290.7253225627.635
 R   1		 G 110		 BestInG    8060.504		 AvgOfG 3043792.139		 StDv 3040382.186		 95% ConfInt 2851501.4863236082.793
 R   1		 G 111		 BestInG    8060.504		 AvgOfG 3053625.099		 StDv   3050220.0		 95% ConfInt 2860712.247 3246537.95
 R   1		 G 112		 BestInG    8060.504		 AvgOfG 3063458.058		 StDv 3060057.814		 95% ConfInt 2869923.0093256993.107
 R   1		 G 113		 BestInG    8060.504		 AvgOfG 3073291.017		 StDv 3069895.629		 95% ConfInt  2879133.773267448.265
 R   1		 G 114		 BestInG    8060.504		 AvgOfG 3083123.977		 StDv 3079733.444		 95% ConfInt 2888344.5313277903.422
 R   1		 G 115		 BestInG    8060.504		 AvgOfG 3092956.936		 StDv  3089571.26		 95% ConfInt 2897555.293 3288358.58
 R   1		 G 116		 BestInG    8060.504		 AvgOfG 3102789.895		 StDv 3099409.076		 95% ConfInt 2906766.0543298813.737
 R   1		 G 117		 BestInG    8060.504		 AvgOfG 3112622.855		 StDv 3109246.893		 95% ConfInt 2915976.8153309268.895
 R   1		 G 118		 BestInG    8060.504		 AvgOfG 3122455.814		 StDv  3119084.71		 95% ConfInt 2925187.5763319724.052
 R   1		 G 119		 BestInG    8060.504		 AvgOfG 3132288.773		 StDv 3128922.527		 95% ConfInt 2934398.337 3330179.21
 R   1		 G 120		 BestInG    8060.504		 AvgOfG 3142121.733		 StDv 3138760.345		 95% ConfInt 2943609.0983340634.367
 R   1		 G 121		 BestInG    8060.504		 AvgOfG 3151954.692		 StDv 3148598.163		 95% ConfInt 2952819.8593351089.525
 R   1		 G 122		 BestInG    8060.504		 AvgOfG 3161787.651		 StDv 3158435.982		 95% ConfInt 2962030.6213361544.682
 R   1		 G 123		 BestInG    8060.504		 AvgOfG 3171620.611		 StDv   3168273.8		 95% ConfInt 2971241.382 3371999.84
 R   1		 G 124		 BestInG    8060.504		 AvgOfG  3181453.57		 StDv  3178111.62		 95% ConfInt 2980452.1433382454.998
 R   1		 G 125		 BestInG    8060.504		 AvgOfG 3191286.529		 StDv 3187949.439		 95% ConfInt 2989662.9043392910.155
 R   1		 G 126		 BestInG    8060.504		 AvgOfG 3201119.489		 StDv 3197787.259		 95% ConfInt 2998873.6653403365.313
 R   1		 G 127		 BestInG    8060.504		 AvgOfG 3210952.448		 StDv  3207625.08		 95% ConfInt 3008084.4253413820.471
 R   1		 G 128		 BestInG    8060.504		 AvgOfG 3220785.407		 StDv   3217462.9		 95% ConfInt 3017295.1863424275.629
 R   1		 G 129		 BestInG    8060.504		 AvgOfG 3230618.367		 StDv 3227300.721		 95% ConfInt 3026505.9473434730.786
 R   1		 G 130		 BestInG    8060.504		 AvgOfG 3240451.326		 StDv 3237138.543		 95% ConfInt 3035716.7083445185.944
 R   1		 G 131		 BestInG    8060.504		 AvgOfG 3250284.285		 StDv 3246976.365		 95% ConfInt 3044927.4693455641.102
 R   1		 G 132		 BestInG    8060.504		 AvgOfG 3260117.245		 StDv 3256814.187		 95% ConfInt  3054138.23 3466096.26
 R   1		 G 133		 BestInG    8060.504		 AvgOfG 3269950.204		 StDv 3266652.009		 95% ConfInt 3063348.9913476551.418
 R   1		 G 134		 BestInG    8060.504		 AvgOfG 3279783.164		 StDv 3276489.832		 95% ConfInt 3072559.7523487006.576
 R   1		 G 135		 BestInG    8060.504		 AvgOfG 3289616.123		 StDv 3286327.655		 95% ConfInt 3081770.5123497461.733
 R   1		 G 136		 BestInG    8060.504		 AvgOfG 3299449.082		 StDv 3296165.479		 95% ConfInt 3090981.2733507916.891
 R   1		 G 137		 BestInG    8060.504		 AvgOfG 3309282.042		 StDv 3306003.303		 95% ConfInt 3100192.0343518372.049
 R   1		 G 138		 BestInG    8060.504		 AvgOfG 3319115.001		 StDv 3315841.127		 95% ConfInt 3109402.7943528827.207
 R   1		 G 139		 BestInG    8060.504		 AvgOfG  3328947.96		 StDv 3325678.951		 95% ConfInt 3118613.5553539282.365
 R   1		 G 140		 BestInG    8060.504		 AvgOfG  3338780.92		 StDv 3335516.776		 95% ConfInt 3127824.3163549737.523
 R   1		 G 141		 BestInG    8060.504		 AvgOfG 3348613.879		 StDv 3345354.601		 95% ConfInt 3137035.0763560192.681
 R   1		 G 142		 BestInG    8060.504		 AvgOfG 3358446.838		 StDv 3355192.427		 95% ConfInt 3146245.8373570647.839
 R   1		 G 143		 BestInG    8060.504		 AvgOfG 3368279.798		 StDv 3365030.253		 95% ConfInt 3155456.5983581102.997
 R   1		 G 144		 BestInG    8060.504		 AvgOfG 3378112.757		 StDv 3374868.079		 95% ConfInt 3164667.3583591558.156
 R   1		 G 145		 BestInG    8060.504		 AvgOfG 3387945.716		 StDv 3384705.905		 95% ConfInt 3173878.1193602013.314
 R   1		 G 146		 BestInG    8060.504		 AvgOfG 3397778.676		 StDv 3394543.732		 95% ConfInt 3183088.8793612468.472
 R   1		 G 147		 BestInG    8060.504		 AvgOfG 3407611.635		 StDv 3404381.559		 95% ConfInt  3192299.64 3622923.63
 R   1		 G 148		 BestInG    8060.504		 AvgOfG 3417444.594		 StDv 3414219.386		 95% ConfInt   3201510.43633378.788
 R   1		 G 149		 BestInG    8060.504		 AvgOfG 3427277.554		 StDv 3424057.214		 95% ConfInt 3210721.1613643833.946
 R   1		 G 150		 BestInG    8060.504		 AvgOfG 3437110.513		 StDv 3433895.042		 95% ConfInt 3219931.9213654289.104
 R   1		 G 151		 BestInG    8060.504		 AvgOfG 3446943.472		 StDv  3443732.87		 95% ConfInt 3229142.6823664744.263
 R   1		 G 152		 BestInG    8060.504		 AvgOfG 3456776.432		 StDv 3453570.698		 95% ConfInt 3238353.4423675199.421
 R   1		 G 153		 BestInG    8060.504		 AvgOfG 3466609.391		 StDv 3463408.527		 95% ConfInt 3247564.2033685654.579
 R   1		 G 154		 BestInG    8060.504		 AvgOfG  3476442.35		 StDv 3473246.356		 95% ConfInt 3256774.9633696109.738
 R   1		 G 155		 BestInG    8060.504		 AvgOfG  3486275.31		 StDv 3483084.185		 95% ConfInt 3265985.7233706564.896
 R   1		 G 156		 BestInG    8060.504		 AvgOfG 3496108.269		 StDv 3492922.015		 95% ConfInt 3275196.4843717020.054
 R   1		 G 157		 BestInG    8060.504		 AvgOfG 3505941.228		 StDv 3502759.845		 95% ConfInt 3284407.2443727475.212
 R   1		 G 158		 BestInG    8060.504		 AvgOfG 3515774.188		 StDv 3512597.675		 95% ConfInt 3293618.0053737930.371
 R   1		 G 159		 BestInG    8060.504		 AvgOfG 3525607.147		 StDv 3522435.506		 95% ConfInt 3302828.7653748385.529
 R   1		 G 160		 BestInG    8060.504		 AvgOfG 3535440.106		 StDv 3532273.336		 95% ConfInt 3312039.5253758840.688
 R   1		 G 161		 BestInG    8060.504		 AvgOfG 3545273.066		 StDv 3542111.168		 95% ConfInt 3321250.2853769295.846
 R   1		 G 162		 BestInG    8060.504		 AvgOfG 3555106.025		 StDv 3551948.999		 95% ConfInt 3330461.0463779751.004
 R   1		 G 163		 BestInG    8060.504		 AvgOfG 3564938.984		 StDv  3561786.83		 95% ConfInt 3339671.8063790206.163
 R   1		 G 164		 BestInG    8060.504		 AvgOfG 3574771.944		 StDv 3571624.662		 95% ConfInt 3348882.5663800661.321
 R   1		 G 165		 BestInG    8060.504		 AvgOfG 3584604.903		 StDv 3581462.494		 95% ConfInt 3358093.326 3811116.48
 R   1		 G 166		 BestInG    8060.504		 AvgOfG 3594437.862		 StDv 3591300.327		 95% ConfInt 3367304.0873821571.638
 R   1		 G 167		 BestInG    8060.504		 AvgOfG 3604270.822		 StDv 3601138.159		 95% ConfInt 3376514.8473832026.797
 R   1		 G 168		 BestInG    8060.504		 AvgOfG 3614103.781		 StDv 3610975.992		 95% ConfInt 3385725.6073842481.955
 R   1		 G 169		 BestInG    8060.504		 AvgOfG  3623936.74		 StDv 3620813.825		 95% ConfInt 3394936.3673852937.114
 R   1		 G 170		 BestInG    8060.504		 AvgOfG   3633769.7		 StDv 3630651.659		 95% ConfInt 3404147.1273863392.272
 R   1		 G 171		 BestInG    8060.504		 AvgOfG 3643602.659		 StDv 3640489.492		 95% ConfInt 3413357.8873873847.431
 R   1		 G 172		 BestInG    8060.504		 AvgOfG 3653435.618		 StDv 3650327.326		 95% ConfInt 3422568.647 3884302.59
 R   1		 G 173		 BestInG    8060.504		 AvgOfG 3663268.578		 StDv  3660165.16		 95% ConfInt 3431779.4073894757.748
 R   1		 G 174		 BestInG    8060.504		 AvgOfG 3673101.537		 StDv 3670002.994		 95% ConfInt 3440990.1673905212.907
 R   1		 G 175		 BestInG    8060.504		 AvgOfG 3682934.496		 StDv 3679840.829		 95% ConfInt 3450200.9283915668.065
 R   1		 G 176		 BestInG    8060.504		 AvgOfG 3692767.456		 StDv 3689678.664		 95% ConfInt 3459411.6883926123.224
 R   1		 G 177		 BestInG    8060.504		 AvgOfG 3702600.415		 StDv 3699516.499		 95% ConfInt 3468622.4483936578.383
 R   1		 G 178		 BestInG    8060.504		 AvgOfG 3712433.374		 StDv 3709354.334		 95% ConfInt 3477833.2083947033.541
 R   1		 G 179		 BestInG    8060.504		 AvgOfG 3722266.334		 StDv  3719192.17		 95% ConfInt 3487043.968  3957488.7
 R   1		 G 180		 BestInG    8060.504		 AvgOfG 3732099.293		 StDv 3729030.006		 95% ConfInt 3496254.7283967943.859
 R   1		 G 181		 BestInG    8060.504		 AvgOfG 3741932.252		 StDv 3738867.842		 95% ConfInt 3505465.4873978399.017
 R   1		 G 182		 BestInG    8060.504		 AvgOfG 3751765.212		 StDv 3748705.678		 95% ConfInt 3514676.2473988854.176
 R   1		 G 183		 BestInG    8060.504		 AvgOfG 3761598.171		 StDv 3758543.514		 95% ConfInt 3523887.0073999309.335
 R   1		 G 184		 BestInG    8060.504		 AvgOfG  3771431.13		 StDv 3768381.351		 95% ConfInt 3533097.7674009764.494
 R   1		 G 185		 BestInG    8060.504		 AvgOfG  3781264.09		 StDv 3778219.188		 95% ConfInt 3542308.5274020219.652
 R   1		 G 186		 BestInG    8060.504		 AvgOfG 3791097.049		 StDv 3788057.025		 95% ConfInt 3551519.2874030674.811
 R   1		 G 187		 BestInG    8060.504		 AvgOfG 3800930.009		 StDv 3797894.862		 95% ConfInt 3560730.047 4041129.97
 R   1		 G 188		 BestInG    8060.504		 AvgOfG 3810762.968		 StDv   3807732.7		 95% ConfInt 3569940.8074051585.129
 R   1		 G 189		 BestInG    8060.504		 AvgOfG 3820595.927		 StDv 3817570.538		 95% ConfInt 3579151.5674062040.288
 R   1		 G 190		 BestInG    8060.504		 AvgOfG 3830428.887		 StDv 3827408.376		 95% ConfInt 3588362.3264072495.447
 R   1		 G 191		 BestInG    8060.504		 AvgOfG 3840261.846		 StDv 3837246.214		 95% ConfInt 3597573.0864082950.605
